temperature_min;temperature_max;wind_mean;wind_direction;gust_max;phenomenon;pressure_min;pressure_max;humidity_mean;uv_index_mean;moon;moon_direction;date;areal;city;fish;prob_min;prob_max
0,1,2,4,2,0,3,2,-2;7,10,14,14,12,3,4,6,1;1,2,2,2,3,5,4,2,5;ЮЗ,Ю,Ю,Ю,ЮВ,ЮЗ,Ю,ЮВ,ЮЗ;5,7,8,10,12,15,13,10,16;пасмурно,пасмурно,ясно,ясно,пасмурно.небольшой дождь,пасмурно,пасмурно.небольшой дождь,пасмурно.небольшой дождь,пасмурно.небольшой снег;753,749,746,744,740,745,743,740,743;755,752,749,746,743,747,745,744,748;72,70,70,75,77,65,80,89,77;2,2,3,2,2,1,1,1,1;100,98,94,89,82,74,65,56,45;-1,-1,-1,-1,-1,-1,-1,-1,-1;2020-10-01;Кемеровская область;Белово;озерная форель;40,40,31,31,31,31,31,31,31;40,40,31,31,31,31,31,31,31
1,2,4,2,0,3,2,-2,-2;10,14,14,12,3,4,6,1,3;2,2,2,3,5,4,2,5,2;Ю,Ю,Ю,ЮВ,ЮЗ,Ю,ЮВ,ЮЗ,ЮЗ;7,8,10,12,15,13,10,16,12;пасмурно,ясно,ясно,пасмурно.небольшой дождь,пасмурно,пасмурно.небольшой дождь,пасмурно.небольшой дождь,пасмурно.небольшой снег,пасмурно.небольшой снег;749,746,744,740,745,743,740,743,749;752,749,746,743,747,745,744,748,755;70,70,75,77,65,80,89,77,71;2,3,2,2,1,1,1,1,0;98,94,89,82,74,65,56,45,35;-1,-1,-1,-1,-1,-1,-1,-1,-1;2020-10-02;Кемеровская область;Белово;озерная форель;40,31,31,31,31,31,31,31,31;40,31,31,31,31,31,31,31,31
0,1,2,4,2,0,3,2,-2;7,10,14,14,12,3,4,6,1;1,2,2,2,3,5,4,2,5;ЮЗ,Ю,Ю,Ю,ЮВ,ЮЗ,Ю,ЮВ,ЮЗ;5,7,8,10,12,15,13,10,16;пасмурно,пасмурно,ясно,ясно,пасмурно.небольшой дождь,пасмурно,пасмурно.небольшой дождь,пасмурно.небольшой дождь,пасмурно.небольшой снег;753,749,746,744,740,745,743,740,743;755,752,749,746,743,747,745,744,748;72,70,70,75,77,65,80,89,77;2,2,3,2,2,1,1,1,1;100,98,94,89,82,74,65,56,45;-1,-1,-1,-1,-1,-1,-1,-1,-1;2020-10-01;Кемеровская область;Белово;елец;40,40,31,31,31,31,31,31,31;40,40,31,31,31,31,31,31,31
1,2,4,2,0,3,2,-2,-2;10,14,14,12,3,4,6,1,3;2,2,2,3,5,4,2,5,2;Ю,Ю,Ю,ЮВ,ЮЗ,Ю,ЮВ,ЮЗ,ЮЗ;7,8,10,12,15,13,10,16,12;пасмурно,ясно,ясно,пасмурно.небольшой дождь,пасмурно,пасмурно.небольшой дождь,пасмурно.небольшой дождь,пасмурно.небольшой снег,пасмурно.небольшой снег;749,746,744,740,745,743,740,743,749;752,749,746,743,747,745,744,748,755;70,70,75,77,65,80,89,77,71;2,3,2,2,1,1,1,1,0;98,94,89,82,74,65,56,45,35;-1,-1,-1,-1,-1,-1,-1,-1,-1;2020-10-02;Кемеровская область;Белово;елец;40,31,31,31,31,31,31,31,31;40,31,31,31,31,31,31,31,31
0,1,2,4,2,0,3,2,-2;7,10,14,14,12,3,4,6,1;1,2,2,2,3,5,4,2,5;ЮЗ,Ю,Ю,Ю,ЮВ,ЮЗ,Ю,ЮВ,ЮЗ;5,7,8,10,12,15,13,10,16;пасмурно,пасмурно,ясно,ясно,пасмурно.небольшой дождь,пасмурно,пасмурно.небольшой дождь,пасмурно.небольшой дождь,пасмурно.небольшой снег;753,749,746,744,740,745,743,740,743;755,752,749,746,743,747,745,744,748;72,70,70,75,77,65,80,89,77;2,2,3,2,2,1,1,1,1;100,98,94,89,82,74,65,56,45;-1,-1,-1,-1,-1,-1,-1,-1,-1;2020-10-01;Кемеровская область;Белово;чехонь;40,40,31,31,31,31,31,31,31;40,40,31,31,31,31,31,31,31
1,2,4,2,0,3,2,-2,-2;10,14,14,12,3,4,6,1,3;2,2,2,3,5,4,2,5,2;Ю,Ю,Ю,ЮВ,ЮЗ,Ю,ЮВ,ЮЗ,ЮЗ;7,8,10,12,15,13,10,16,12;пасмурно,ясно,ясно,пасмурно.небольшой дождь,пасмурно,пасмурно.небольшой дождь,пасмурно.небольшой дождь,пасмурно.небольшой снег,пасмурно.небольшой снег;749,746,744,740,745,743,740,743,749;752,749,746,743,747,745,744,748,755;70,70,75,77,65,80,89,77,71;2,3,2,2,1,1,1,1,0;98,94,89,82,74,65,56,45,35;-1,-1,-1,-1,-1,-1,-1,-1,-1;2020-10-02;Кемеровская область;Белово;чехонь;40,31,31,31,31,31,31,31,31;40,31,31,31,31,31,31,31,31
0,1,2,4,2,0,3,2,-2;7,10,14,14,12,3,4,6,1;1,2,2,2,3,5,4,2,5;ЮЗ,Ю,Ю,Ю,ЮВ,ЮЗ,Ю,ЮВ,ЮЗ;5,7,8,10,12,15,13,10,16;пасмурно,пасмурно,ясно,ясно,пасмурно.небольшой дождь,пасмурно,пасмурно.небольшой дождь,пасмурно.небольшой дождь,пасмурно.небольшой снег;753,749,746,744,740,745,743,740,743;755,752,749,746,743,747,745,744,748;72,70,70,75,77,65,80,89,77;2,2,3,2,2,1,1,1,1;100,98,94,89,82,74,65,56,45;-1,-1,-1,-1,-1,-1,-1,-1,-1;2020-10-01;Кемеровская область;Белово;сом;40,40,31,31,31,31,31,31,31;40,40,31,31,31,31,31,31,31
1,2,4,2,0,3,2,-2,-2;10,14,14,12,3,4,6,1,3;2,2,2,3,5,4,2,5,2;Ю,Ю,Ю,ЮВ,ЮЗ,Ю,ЮВ,ЮЗ,ЮЗ;7,8,10,12,15,13,10,16,12;пасмурно,ясно,ясно,пасмурно.небольшой дождь,пасмурно,пасмурно.небольшой дождь,пасмурно.небольшой дождь,пасмурно.небольшой снег,пасмурно.небольшой снег;749,746,744,740,745,743,740,743,749;752,749,746,743,747,745,744,748,755;70,70,75,77,65,80,89,77,71;2,3,2,2,1,1,1,1,0;98,94,89,82,74,65,56,45,35;-1,-1,-1,-1,-1,-1,-1,-1,-1;2020-10-02;Кемеровская область;Белово;сом;40,31,31,31,31,31,31,31,31;40,31,31,31,31,31,31,31,31
0,1,2,4,2,0,3,2,-2;7,10,14,14,12,3,4,6,1;1,2,2,2,3,5,4,2,5;ЮЗ,Ю,Ю,Ю,ЮВ,ЮЗ,Ю,ЮВ,ЮЗ;5,7,8,10,12,15,13,10,16;пасмурно,пасмурно,ясно,ясно,пасмурно.небольшой дождь,пасмурно,пасмурно.небольшой дождь,пасмурно.небольшой дождь,пасмурно.небольшой снег;753,749,746,744,740,745,743,740,743;755,752,749,746,743,747,745,744,748;72,70,70,75,77,65,80,89,77;2,2,3,2,2,1,1,1,1;100,98,94,89,82,74,65,56,45;-1,-1,-1,-1,-1,-1,-1,-1,-1;2020-10-01;Кемеровская область;Белово;голавль;40,40,31,31,31,31,31,31,31;40,40,31,31,31,31,31,31,31
1,2,4,2,0,3,2,-2,-2;10,14,14,12,3,4,6,1,3;2,2,2,3,5,4,2,5,2;Ю,Ю,Ю,ЮВ,ЮЗ,Ю,ЮВ,ЮЗ,ЮЗ;7,8,10,12,15,13,10,16,12;пасмурно,ясно,ясно,пасмурно.небольшой дождь,пасмурно,пасмурно.небольшой дождь,пасмурно.небольшой дождь,пасмурно.небольшой снег,пасмурно.небольшой снег;749,746,744,740,745,743,740,743,749;752,749,746,743,747,745,744,748,755;70,70,75,77,65,80,89,77,71;2,3,2,2,1,1,1,1,0;98,94,89,82,74,65,56,45,35;-1,-1,-1,-1,-1,-1,-1,-1,-1;2020-10-02;Кемеровская область;Белово;голавль;40,31,31,31,31,31,31,31,31;40,31,31,31,31,31,31,31,31
0,1,2,4,2,0,3,2,-2;7,10,14,14,12,3,4,6,1;1,2,2,2,3,5,4,2,5;ЮЗ,Ю,Ю,Ю,ЮВ,ЮЗ,Ю,ЮВ,ЮЗ;5,7,8,10,12,15,13,10,16;пасмурно,пасмурно,ясно,ясно,пасмурно.небольшой дождь,пасмурно,пасмурно.небольшой дождь,пасмурно.небольшой дождь,пасмурно.небольшой снег;753,749,746,744,740,745,743,740,743;755,752,749,746,743,747,745,744,748;72,70,70,75,77,65,80,89,77;2,2,3,2,2,1,1,1,1;100,98,94,89,82,74,65,56,45;-1,-1,-1,-1,-1,-1,-1,-1,-1;2020-10-01;Кемеровская область;Белово;язь;40,40,31,31,31,31,31,31,31;40,40,31,31,31,31,31,31,31
1,2,4,2,0,3,2,-2,-2;10,14,14,12,3,4,6,1,3;2,2,2,3,5,4,2,5,2;Ю,Ю,Ю,ЮВ,ЮЗ,Ю,ЮВ,ЮЗ,ЮЗ;7,8,10,12,15,13,10,16,12;пасмурно,ясно,ясно,пасмурно.небольшой дождь,пасмурно,пасмурно.небольшой дождь,пасмурно.небольшой дождь,пасмурно.небольшой снег,пасмурно.небольшой снег;749,746,744,740,745,743,740,743,749;752,749,746,743,747,745,744,748,755;70,70,75,77,65,80,89,77,71;2,3,2,2,1,1,1,1,0;98,94,89,82,74,65,56,45,35;-1,-1,-1,-1,-1,-1,-1,-1,-1;2020-10-02;Кемеровская область;Белово;язь;40,31,31,31,31,31,31,31,31;40,31,31,31,31,31,31,31,31
0,1,2,4,2,0,3,2,-2;7,10,14,14,12,3,4,6,1;1,2,2,2,3,5,4,2,5;ЮЗ,Ю,Ю,Ю,ЮВ,ЮЗ,Ю,ЮВ,ЮЗ;5,7,8,10,12,15,13,10,16;пасмурно,пасмурно,ясно,ясно,пасмурно.небольшой дождь,пасмурно,пасмурно.небольшой дождь,пасмурно.небольшой дождь,пасмурно.небольшой снег;753,749,746,744,740,745,743,740,743;755,752,749,746,743,747,745,744,748;72,70,70,75,77,65,80,89,77;2,2,3,2,2,1,1,1,1;100,98,94,89,82,74,65,56,45;-1,-1,-1,-1,-1,-1,-1,-1,-1;2020-10-01;Кемеровская область;Белово;карп;40,40,31,31,31,31,31,31,31;40,40,31,31,31,31,31,31,31
1,2,4,2,0,3,2,-2,-2;10,14,14,12,3,4,6,1,3;2,2,2,3,5,4,2,5,2;Ю,Ю,Ю,ЮВ,ЮЗ,Ю,ЮВ,ЮЗ,ЮЗ;7,8,10,12,15,13,10,16,12;пасмурно,ясно,ясно,пасмурно.небольшой дождь,пасмурно,пасмурно.небольшой дождь,пасмурно.небольшой дождь,пасмурно.небольшой снег,пасмурно.небольшой снег;749,746,744,740,745,743,740,743,749;752,749,746,743,747,745,744,748,755;70,70,75,77,65,80,89,77,71;2,3,2,2,1,1,1,1,0;98,94,89,82,74,65,56,45,35;-1,-1,-1,-1,-1,-1,-1,-1,-1;2020-10-02;Кемеровская область;Белово;карп;40,31,31,31,31,31,31,31,31;40,31,31,31,31,31,31,31,31
0,1,2,4,2,0,3,2,-2;7,10,14,14,12,3,4,6,1;1,2,2,2,3,5,4,2,5;ЮЗ,Ю,Ю,Ю,ЮВ,ЮЗ,Ю,ЮВ,ЮЗ;5,7,8,10,12,15,13,10,16;пасмурно,пасмурно,ясно,ясно,пасмурно.небольшой дождь,пасмурно,пасмурно.небольшой дождь,пасмурно.небольшой дождь,пасмурно.небольшой снег;753,749,746,744,740,745,743,740,743;755,752,749,746,743,747,745,744,748;72,70,70,75,77,65,80,89,77;2,2,3,2,2,1,1,1,1;100,98,94,89,82,74,65,56,45;-1,-1,-1,-1,-1,-1,-1,-1,-1;2020-10-01;Кемеровская область;Белово;жерех;40,40,31,31,31,31,31,31,31;40,40,31,31,31,31,31,31,31
1,2,4,2,0,3,2,-2,-2;10,14,14,12,3,4,6,1,3;2,2,2,3,5,4,2,5,2;Ю,Ю,Ю,ЮВ,ЮЗ,Ю,ЮВ,ЮЗ,ЮЗ;7,8,10,12,15,13,10,16,12;пасмурно,ясно,ясно,пасмурно.небольшой дождь,пасмурно,пасмурно.небольшой дождь,пасмурно.небольшой дождь,пасмурно.небольшой снег,пасмурно.небольшой снег;749,746,744,740,745,743,740,743,749;752,749,746,743,747,745,744,748,755;70,70,75,77,65,80,89,77,71;2,3,2,2,1,1,1,1,0;98,94,89,82,74,65,56,45,35;-1,-1,-1,-1,-1,-1,-1,-1,-1;2020-10-02;Кемеровская область;Белово;жерех;40,31,31,31,31,31,31,31,31;40,31,31,31,31,31,31,31,31
0,1,2,4,2,0,3,2,-2;7,10,14,14,12,3,4,6,1;1,2,2,2,3,5,4,2,5;ЮЗ,Ю,Ю,Ю,ЮВ,ЮЗ,Ю,ЮВ,ЮЗ;5,7,8,10,12,15,13,10,16;пасмурно,пасмурно,ясно,ясно,пасмурно.небольшой дождь,пасмурно,пасмурно.небольшой дождь,пасмурно.небольшой дождь,пасмурно.небольшой снег;753,749,746,744,740,745,743,740,743;755,752,749,746,743,747,745,744,748;72,70,70,75,77,65,80,89,77;2,2,3,2,2,1,1,1,1;100,98,94,89,82,74,65,56,45;-1,-1,-1,-1,-1,-1,-1,-1,-1;2020-10-01;Кемеровская область;Белово;лещ;40,40,31,31,31,31,31,31,31;40,40,31,31,31,31,31,31,31
1,2,4,2,0,3,2,-2,-2;10,14,14,12,3,4,6,1,3;2,2,2,3,5,4,2,5,2;Ю,Ю,Ю,ЮВ,ЮЗ,Ю,ЮВ,ЮЗ,ЮЗ;7,8,10,12,15,13,10,16,12;пасмурно,ясно,ясно,пасмурно.небольшой дождь,пасмурно,пасмурно.небольшой дождь,пасмурно.небольшой дождь,пасмурно.небольшой снег,пасмурно.небольшой снег;749,746,744,740,745,743,740,743,749;752,749,746,743,747,745,744,748,755;70,70,75,77,65,80,89,77,71;2,3,2,2,1,1,1,1,0;98,94,89,82,74,65,56,45,35;-1,-1,-1,-1,-1,-1,-1,-1,-1;2020-10-02;Кемеровская область;Белово;лещ;40,31,31,31,31,31,31,31,31;40,31,31,31,31,31,31,31,31
0,1,2,4,2,0,3,2,-2;7,10,14,14,12,3,4,6,1;1,2,2,2,3,5,4,2,5;ЮЗ,Ю,Ю,Ю,ЮВ,ЮЗ,Ю,ЮВ,ЮЗ;5,7,8,10,12,15,13,10,16;пасмурно,пасмурно,ясно,ясно,пасмурно.небольшой дождь,пасмурно,пасмурно.небольшой дождь,пасмурно.небольшой дождь,пасмурно.небольшой снег;753,749,746,744,740,745,743,740,743;755,752,749,746,743,747,745,744,748;72,70,70,75,77,65,80,89,77;2,2,3,2,2,1,1,1,1;100,98,94,89,82,74,65,56,45;-1,-1,-1,-1,-1,-1,-1,-1,-1;2020-10-01;Кемеровская область;Белово;карась;40,40,31,31,31,31,31,31,31;40,40,31,31,31,31,31,31,31
1,2,4,2,0,3,2,-2,-2;10,14,14,12,3,4,6,1,3;2,2,2,3,5,4,2,5,2;Ю,Ю,Ю,ЮВ,ЮЗ,Ю,ЮВ,ЮЗ,ЮЗ;7,8,10,12,15,13,10,16,12;пасмурно,ясно,ясно,пасмурно.небольшой дождь,пасмурно,пасмурно.небольшой дождь,пасмурно.небольшой дождь,пасмурно.небольшой снег,пасмурно.небольшой снег;749,746,744,740,745,743,740,743,749;752,749,746,743,747,745,744,748,755;70,70,75,77,65,80,89,77,71;2,3,2,2,1,1,1,1,0;98,94,89,82,74,65,56,45,35;-1,-1,-1,-1,-1,-1,-1,-1,-1;2020-10-02;Кемеровская область;Белово;карась;40,31,31,31,31,31,31,31,31;40,31,31,31,31,31,31,31,31
0,1,2,4,2,0,3,2,-2;7,10,14,14,12,3,4,6,1;1,2,2,2,3,5,4,2,5;ЮЗ,Ю,Ю,Ю,ЮВ,ЮЗ,Ю,ЮВ,ЮЗ;5,7,8,10,12,15,13,10,16;пасмурно,пасмурно,ясно,ясно,пасмурно.небольшой дождь,пасмурно,пасмурно.небольшой дождь,пасмурно.небольшой дождь,пасмурно.небольшой снег;753,749,746,744,740,745,743,740,743;755,752,749,746,743,747,745,744,748;72,70,70,75,77,65,80,89,77;2,2,3,2,2,1,1,1,1;100,98,94,89,82,74,65,56,45;-1,-1,-1,-1,-1,-1,-1,-1,-1;2020-10-01;Кемеровская область;Белово;линь;40,40,31,31,31,31,31,31,31;40,40,31,31,31,31,31,31,31
1,2,4,2,0,3,2,-2,-2;10,14,14,12,3,4,6,1,3;2,2,2,3,5,4,2,5,2;Ю,Ю,Ю,ЮВ,ЮЗ,Ю,ЮВ,ЮЗ,ЮЗ;7,8,10,12,15,13,10,16,12;пасмурно,ясно,ясно,пасмурно.небольшой дождь,пасмурно,пасмурно.небольшой дождь,пасмурно.небольшой дождь,пасмурно.небольшой снег,пасмурно.небольшой снег;749,746,744,740,745,743,740,743,749;752,749,746,743,747,745,744,748,755;70,70,75,77,65,80,89,77,71;2,3,2,2,1,1,1,1,0;98,94,89,82,74,65,56,45,35;-1,-1,-1,-1,-1,-1,-1,-1,-1;2020-10-02;Кемеровская область;Белово;линь;40,31,31,31,31,31,31,31,31;40,31,31,31,31,31,31,31,31
0,1,2,4,2,0,3,2,-2;7,10,14,14,12,3,4,6,1;1,2,2,2,3,5,4,2,5;ЮЗ,Ю,Ю,Ю,ЮВ,ЮЗ,Ю,ЮВ,ЮЗ;5,7,8,10,12,15,13,10,16;пасмурно,пасмурно,ясно,ясно,пасмурно.небольшой дождь,пасмурно,пасмурно.небольшой дождь,пасмурно.небольшой дождь,пасмурно.небольшой снег;753,749,746,744,740,745,743,740,743;755,752,749,746,743,747,745,744,748;72,70,70,75,77,65,80,89,77;2,2,3,2,2,1,1,1,1;100,98,94,89,82,74,65,56,45;-1,-1,-1,-1,-1,-1,-1,-1,-1;2020-10-01;Кемеровская область;Белово;пескарь;40,40,31,31,31,31,31,31,31;40,40,31,31,31,31,31,31,31
1,2,4,2,0,3,2,-2,-2;10,14,14,12,3,4,6,1,3;2,2,2,3,5,4,2,5,2;Ю,Ю,Ю,ЮВ,ЮЗ,Ю,ЮВ,ЮЗ,ЮЗ;7,8,10,12,15,13,10,16,12;пасмурно,ясно,ясно,пасмурно.небольшой дождь,пасмурно,пасмурно.небольшой дождь,пасмурно.небольшой дождь,пасмурно.небольшой снег,пасмурно.небольшой снег;749,746,744,740,745,743,740,743,749;752,749,746,743,747,745,744,748,755;70,70,75,77,65,80,89,77,71;2,3,2,2,1,1,1,1,0;98,94,89,82,74,65,56,45,35;-1,-1,-1,-1,-1,-1,-1,-1,-1;2020-10-02;Кемеровская область;Белово;пескарь;40,31,31,31,31,31,31,31,31;40,31,31,31,31,31,31,31,31
0,1,2,4,2,0,3,2,-2;7,10,14,14,12,3,4,6,1;1,2,2,2,3,5,4,2,5;ЮЗ,Ю,Ю,Ю,ЮВ,ЮЗ,Ю,ЮВ,ЮЗ;5,7,8,10,12,15,13,10,16;пасмурно,пасмурно,ясно,ясно,пасмурно.небольшой дождь,пасмурно,пасмурно.небольшой дождь,пасмурно.небольшой дождь,пасмурно.небольшой снег;753,749,746,744,740,745,743,740,743;755,752,749,746,743,747,745,744,748;72,70,70,75,77,65,80,89,77;2,2,3,2,2,1,1,1,1;100,98,94,89,82,74,65,56,45;-1,-1,-1,-1,-1,-1,-1,-1,-1;2020-10-01;Кемеровская область;Белово;ротан;40,40,31,31,31,31,31,31,31;40,40,31,31,31,31,31,31,31
1,2,4,2,0,3,2,-2,-2;10,14,14,12,3,4,6,1,3;2,2,2,3,5,4,2,5,2;Ю,Ю,Ю,ЮВ,ЮЗ,Ю,ЮВ,ЮЗ,ЮЗ;7,8,10,12,15,13,10,16,12;пасмурно,ясно,ясно,пасмурно.небольшой дождь,пасмурно,пасмурно.небольшой дождь,пасмурно.небольшой дождь,пасмурно.небольшой снег,пасмурно.небольшой снег;749,746,744,740,745,743,740,743,749;752,749,746,743,747,745,744,748,755;70,70,75,77,65,80,89,77,71;2,3,2,2,1,1,1,1,0;98,94,89,82,74,65,56,45,35;-1,-1,-1,-1,-1,-1,-1,-1,-1;2020-10-02;Кемеровская область;Белово;ротан;40,31,31,31,31,31,31,31,31;40,31,31,31,31,31,31,31,31
